ch06,Sexo_Varón,educ,estado_Ocupado,cobertura_medica_tiene,pobre,estado_civil_no_casado,jefe_ocupado,educ_jefe,jefe_mujer
37,0,13.0,1,1,0,1,1,14.0,0
39,1,10.0,1,0,1,0,1,10.0,0
37,0,10.0,0,0,1,0,1,10.0,0
18,1,13.0,0,0,1,1,1,10.0,0
16,0,12.0,0,0,1,1,1,10.0,0
11,1,6.0,0,0,1,1,1,10.0,0
38,1,13.0,1,1,0,1,1,13.0,0
14,1,11.0,0,1,0,1,1,13.0,0
29,0,16.0,1,1,1,1,1,16.0,1
34,1,8.0,1,0,1,1,1,16.0,1
6,1,1.0,0,1,1,1,1,16.0,1
1,0,0.0,0,1,1,1,1,16.0,1
75,0,5.0,0,1,0,0,0,5.0,1
80,1,4.0,0,1,0,0,0,5.0,1
41,1,9.0,1,1,0,1,1,9.0,0
77,1,8.0,0,1,0,1,0,8.0,0
86,0,8.0,0,1,0,1,0,8.0,0
59,1,8.0,1,1,0,1,1,8.0,0
52,1,13.0,1,1,0,1,1,13.0,0
71,0,11.0,0,1,0,1,0,11.0,1
70,1,13.0,0,1,0,1,0,11.0,1
3,1,0.0,0,0,1,1,1,9.0,1
19,0,13.0,1,1,1,1,1,9.0,1
58,1,8.0,0,1,1,0,1,9.0,1
55,0,10.0,1,1,1,0,1,9.0,1
43,1,13.0,1,1,0,1,1,13.0,0
35,0,13.0,1,1,0,1,1,13.0,1
19,1,13.0,0,1,0,1,1,13.0,1
52,0,2.0,1,1,0,1,1,2.0,1
27,0,13.0,1,1,0,1,1,2.0,1
66,0,19.0,0,1,0,1,1,13.0,0
46,1,13.0,1,1,0,1,1,13.0,0
34,0,13.0,1,1,0,1,1,13.0,0
24,1,10.0,1,1,0,1,1,13.0,0
6,1,0.0,0,1,0,1,1,13.0,0
4,1,0.0,0,1,0,1,1,13.0,0
19,0,12.0,0,0,1,1,1,8.0,1
15,1,10.0,0,0,1,1,1,8.0,1
12,0,7.0,0,0,1,1,1,8.0,1
7,0,3.0,0,1,1,1,1,8.0,1
2,1,0.0,0,1,1,1,1,8.0,1
68,0,8.0,0,1,0,1,0,8.0,1
49,1,7.0,1,1,0,0,1,7.0,0
59,0,3.0,0,1,0,0,1,7.0,0
24,0,18.0,0,0,1,1,0,18.0,1
43,1,8.0,1,0,0,1,1,8.0,0
40,0,13.0,1,1,0,1,1,8.0,0
19,0,14.0,0,0,0,1,1,8.0,0
11,1,6.0,0,0,0,1,1,8.0,0
73,0,2.0,0,1,0,1,0,2.0,1
37,0,13.0,1,1,0,1,1,13.0,1
19,1,9.0,0,0,0,1,1,13.0,1
14,1,9.0,0,1,0,1,1,13.0,1
6,1,2.0,0,1,0,1,1,13.0,1
75,0,8.0,0,1,0,1,0,8.0,1
24,0,13.0,0,1,0,1,0,13.0,1
29,1,13.0,1,1,0,1,0,13.0,1
38,0,19.0,1,1,0,1,1,19.0,1
78,0,0.0,0,1,0,1,0,0.0,1
29,1,13.0,1,1,0,1,1,13.0,0
30,0,16.0,1,1,0,1,1,16.0,1
51,1,6.0,1,0,0,0,1,6.0,0
63,0,0.0,0,1,0,0,1,6.0,0
26,0,16.0,1,1,0,1,1,16.0,1
68,0,13.0,0,1,0,1,0,13.0,1
67,1,13.0,0,1,0,1,0,13.0,1
54,0,13.0,0,1,0,1,0,13.0,1
13,1,9.0,0,1,0,1,0,13.0,1
59,0,13.0,0,1,0,1,0,13.0,1
27,1,13.0,1,1,0,1,0,13.0,1
39,1,10.0,0,1,1,1,0,10.0,0
16,1,12.0,0,1,1,1,0,10.0,0
13,1,9.0,0,1,1,1,0,10.0,0
9,0,4.0,0,1,1,1,0,10.0,0
44,1,13.0,1,1,1,1,1,13.0,0
40,0,13.0,0,1,1,1,1,13.0,0
10,1,4.0,0,1,1,1,1,13.0,0
9,1,4.0,0,1,1,1,1,13.0,0
1,0,0.0,0,1,1,1,1,13.0,0
47,1,10.0,1,1,0,1,1,10.0,0
38,0,13.0,1,1,0,1,1,10.0,0
12,0,9.0,0,1,0,1,1,10.0,0
64,1,16.0,0,1,0,0,0,16.0,0
63,0,19.0,0,1,0,0,0,16.0,0
88,0,3.0,0,1,0,1,0,3.0,1
55,1,13.0,1,0,0,1,0,3.0,1
39,0,19.0,1,1,0,1,1,19.0,1
5,0,0.0,0,1,0,1,1,19.0,1
45,0,16.0,1,1,0,1,1,16.0,1
41,1,16.0,1,1,0,1,1,16.0,1
13,1,9.0,0,1,0,1,1,16.0,1
11,1,6.0,0,1,0,1,1,16.0,1
17,0,13.0,0,1,0,1,1,13.0,0
11,1,6.0,0,1,0,1,1,13.0,0
55,1,13.0,1,1,0,0,1,13.0,0
51,0,19.0,1,1,0,0,1,13.0,0
44,0,23.0,1,1,0,1,1,23.0,1
16,0,12.0,0,1,0,1,1,23.0,1
13,1,10.0,0,1,0,1,1,23.0,1
82,0,8.0,0,1,0,1,0,8.0,1
78,0,1.0,0,1,0,0,0,1.0,1
77,1,9.0,0,1,0,0,0,1.0,1
36,1,19.0,1,1,0,1,1,19.0,0
36,0,19.0,1,1,0,1,1,19.0,0
72,1,13.0,0,0,0,1,0,13.0,0
45,1,13.0,1,1,0,1,1,13.0,0
38,0,12.0,0,1,1,1,0,12.0,1
40,0,13.0,1,0,1,1,0,12.0,1
6,0,0.0,0,1,1,1,0,12.0,1
18,0,12.0,0,0,1,1,0,12.0,1
54,1,8.0,1,1,0,0,1,8.0,0
47,0,6.0,1,1,0,0,1,8.0,0
26,1,10.0,0,1,0,1,1,8.0,0
31,1,8.0,1,1,0,1,1,8.0,0
9,0,5.0,0,1,0,1,1,8.0,0
1,0,0.0,0,1,0,1,1,8.0,0
45,1,6.0,1,0,1,0,1,6.0,0
46,0,1.0,1,0,1,0,1,6.0,0
24,1,13.0,0,0,1,1,1,6.0,0
22,1,13.0,0,0,1,1,1,6.0,0
20,1,13.0,0,0,1,1,1,6.0,0
16,0,12.0,0,0,1,1,1,6.0,0
12,0,9.0,0,0,1,1,1,6.0,0
77,0,6.0,0,1,0,1,0,6.0,1
54,1,8.0,1,1,0,1,1,8.0,0
54,0,16.0,1,1,0,1,1,8.0,0
32,0,13.0,0,0,1,1,0,13.0,1
12,0,6.0,0,0,1,1,0,13.0,1
39,1,8.0,1,0,1,1,0,13.0,1
7,1,2.0,0,0,1,1,0,13.0,1
33,0,19.0,1,1,0,1,1,19.0,1
35,1,16.0,1,1,0,1,1,19.0,1
5,1,0.0,0,1,0,1,1,19.0,1
75,1,8.0,0,1,0,0,0,8.0,0
72,0,8.0,0,1,0,0,0,8.0,0
87,1,12.0,0,1,0,0,0,12.0,0
92,0,7.0,0,1,0,0,0,12.0,0
75,1,7.0,0,1,0,0,0,7.0,0
62,0,8.0,0,1,0,0,0,7.0,0
35,0,16.0,1,1,0,1,1,16.0,1
40,1,13.0,1,1,0,1,1,16.0,1
11,1,6.0,0,1,0,1,1,16.0,1
1,0,0.0,0,1,0,1,1,16.0,1
81,0,3.0,0,1,1,1,0,3.0,1
56,1,8.0,0,0,1,1,0,3.0,1
88,0,5.0,0,1,0,1,0,5.0,1
63,0,13.0,0,1,0,0,0,13.0,1
67,1,13.0,0,1,0,0,0,13.0,1
80,0,13.0,0,1,0,1,0,13.0,1
38,1,13.0,1,1,0,1,1,13.0,0
41,0,8.0,1,1,0,1,1,13.0,0
18,1,14.0,0,1,0,1,1,13.0,0
4,0,0.0,0,1,0,1,1,13.0,0
30,1,13.0,1,0,1,0,1,13.0,0
24,0,13.0,0,0,1,0,1,13.0,0
2,0,0.0,0,0,1,1,1,13.0,0
4,1,0.0,0,0,1,1,1,13.0,0
87,0,3.0,0,1,0,1,0,3.0,1
38,0,15.0,1,1,0,1,0,3.0,1
40,1,16.0,1,1,0,0,1,16.0,0
11,1,7.0,0,1,0,1,1,16.0,0
9,0,5.0,0,1,0,1,1,16.0,0
40,0,16.0,0,1,0,0,1,16.0,0
66,1,19.0,1,1,0,0,1,19.0,0
59,1,9.0,1,0,1,1,1,9.0,0
69,0,16.0,0,1,0,0,1,19.0,0
30,0,19.0,1,1,0,1,1,19.0,0
65,1,23.0,1,1,0,1,1,23.0,0
61,0,9.0,0,1,0,1,0,9.0,1
21,1,14.0,0,0,0,1,0,9.0,1
57,1,16.0,0,1,0,1,0,16.0,0
65,1,8.0,0,1,0,0,0,8.0,0
74,0,8.0,0,1,0,0,0,8.0,0
74,0,8.0,0,1,0,1,0,8.0,1
71,1,11.0,0,1,0,0,0,11.0,0
72,0,10.0,0,1,0,0,0,11.0,0
33,1,10.0,1,0,0,1,0,11.0,0
40,1,12.0,1,1,0,1,1,12.0,0
75,0,8.0,1,1,0,1,1,8.0,1
52,0,13.0,1,1,0,1,1,8.0,1
48,0,13.0,0,0,0,1,1,8.0,1
36,0,11.0,0,0,0,1,1,8.0,1
43,1,16.0,1,1,0,1,1,16.0,0
33,0,16.0,1,1,0,1,1,16.0,0
43,0,13.0,1,1,0,1,1,13.0,1
55,0,7.0,1,1,0,1,1,7.0,1
20,1,10.0,0,1,0,1,1,7.0,1
16,0,11.0,0,1,0,1,1,7.0,1
69,1,8.0,0,1,1,1,0,8.0,0
49,0,13.0,1,1,1,1,0,8.0,0
27,1,11.0,1,1,1,1,0,8.0,0
24,0,13.0,1,1,1,1,0,8.0,0
29,1,13.0,0,1,0,1,1,8.0,1
8,1,4.0,0,1,0,1,1,8.0,1
54,1,10.0,1,1,0,0,1,10.0,0
51,0,10.0,1,1,0,0,1,10.0,0
61,1,11.0,0,1,0,0,0,11.0,0
54,0,19.0,1,1,0,0,0,11.0,0
59,0,16.0,1,1,0,1,1,16.0,1
50,0,8.0,0,0,1,1,0,8.0,1
51,1,8.0,1,0,1,1,0,8.0,1
17,1,10.0,0,0,1,1,0,8.0,1
34,0,15.0,1,1,0,1,1,15.0,1
11,1,8.0,0,1,0,1,1,15.0,1
46,0,19.0,1,1,0,1,1,19.0,1
21,1,15.0,1,1,0,1,1,19.0,1
18,0,13.0,0,1,0,1,1,19.0,1
37,0,8.0,1,1,1,1,1,8.0,1
69,1,8.0,0,1,0,0,0,8.0,0
69,0,8.0,0,1,0,0,0,8.0,0
20,0,16.0,0,0,0,1,0,16.0,1
53,0,9.0,1,0,1,1,1,9.0,1
16,1,13.0,0,1,0,1,1,19.0,1
41,1,13.0,1,1,0,1,1,13.0,0
31,1,13.0,1,1,0,1,1,13.0,1
46,1,13.0,1,1,0,1,1,13.0,1
46,0,13.0,1,1,1,1,1,13.0,1
26,0,16.0,0,1,1,1,1,13.0,1
25,1,16.0,0,1,1,1,1,13.0,1
36,0,16.0,1,1,0,1,1,16.0,1
36,1,16.0,1,1,0,1,1,16.0,1
54,0,15.0,1,1,0,1,1,15.0,1
38,0,13.0,0,1,0,0,0,13.0,1
36,1,13.0,1,1,0,0,0,13.0,1
7,0,2.0,0,1,0,1,0,13.0,1
3,1,0.0,0,1,0,1,0,13.0,1
34,1,13.0,1,1,0,1,1,13.0,0
32,0,13.0,0,1,0,1,1,13.0,0
5,1,0.0,0,1,0,1,1,13.0,0
67,0,8.0,0,1,0,1,0,8.0,1
67,1,8.0,1,1,0,1,0,8.0,1
44,0,13.0,0,0,0,1,0,13.0,1
38,1,13.0,1,1,0,1,1,13.0,0
44,0,16.0,1,1,0,1,1,13.0,0
5,1,1.0,0,1,0,1,1,13.0,0
67,1,16.0,0,1,0,0,0,16.0,0
72,0,13.0,0,1,0,0,0,16.0,0
41,1,13.0,1,1,0,1,1,13.0,0
41,0,13.0,1,1,0,1,1,13.0,0
18,0,13.0,0,1,0,1,1,13.0,0
55,1,12.0,1,1,0,0,1,12.0,0
60,1,8.0,1,1,0,0,1,8.0,0
64,0,8.0,0,1,0,0,1,8.0,0
76,0,13.0,0,1,0,1,0,13.0,1
25,0,13.0,1,0,0,1,0,13.0,1
40,1,11.0,1,1,0,1,0,13.0,1
13,1,9.0,0,1,0,1,0,13.0,1
58,0,6.0,0,1,1,1,0,6.0,1
36,0,11.0,0,0,1,1,0,6.0,1
7,0,2.0,0,1,1,1,0,6.0,1
3,1,0.0,0,1,1,1,0,6.0,1
37,1,14.0,1,1,0,1,1,14.0,0
39,0,19.0,1,1,0,1,1,14.0,0
14,1,10.0,0,1,0,1,1,14.0,0
12,0,9.0,0,1,0,1,1,14.0,0
50,1,11.0,1,1,0,1,1,11.0,0
51,0,11.0,0,1,0,1,1,11.0,0
70,0,12.0,1,1,0,1,1,12.0,1
39,0,13.0,1,1,0,1,1,13.0,1
14,1,9.0,0,1,0,1,1,13.0,0
12,1,6.0,0,1,0,1,1,13.0,0
61,0,16.0,0,1,0,0,0,16.0,1
57,1,13.0,0,0,0,0,0,16.0,1
50,0,0.0,0,1,0,1,0,16.0,1
69,1,8.0,1,1,0,1,1,8.0,0
31,1,16.0,0,0,0,1,1,8.0,0
29,1,9.0,1,1,0,1,1,9.0,0
28,0,13.0,1,1,0,1,1,9.0,0
52,1,13.0,1,1,0,1,0,8.0,1
78,0,8.0,0,1,0,1,0,8.0,1
51,1,13.0,1,0,1,1,1,13.0,0
41,0,13.0,1,0,1,1,1,13.0,0
17,1,11.0,0,1,1,1,1,13.0,0
15,1,10.0,0,1,1,1,1,13.0,0
8,0,2.0,0,1,1,1,1,13.0,0
5,0,0.0,0,1,1,1,1,13.0,0
79,0,2.0,0,1,0,1,0,2.0,1
55,0,13.0,1,1,0,1,1,13.0,1
34,0,13.0,1,1,1,1,1,13.0,1
14,1,11.0,0,0,1,1,1,13.0,1
12,1,6.0,0,0,1,1,1,13.0,1
15,0,11.0,0,1,0,1,1,13.0,1
33,1,11.0,1,1,1,1,1,11.0,0
34,0,12.0,0,1,1,1,1,11.0,0
10,1,5.0,0,1,1,1,1,11.0,0
15,0,11.0,0,1,1,1,1,11.0,0
69,0,10.0,0,1,0,1,0,10.0,1
58,0,12.0,1,1,0,1,1,12.0,1
72,0,8.0,0,1,0,1,0,8.0,1
30,1,13.0,1,0,0,0,1,13.0,0
31,0,10.0,1,0,0,0,1,13.0,0
2,0,0.0,0,0,0,1,1,13.0,0
6,1,1.0,0,0,0,1,1,9.0,0
39,0,13.0,1,0,0,0,1,13.0,1
49,1,13.0,1,0,0,0,1,13.0,1
23,0,13.0,1,0,0,1,1,13.0,1
16,0,10.0,0,0,0,1,1,13.0,1
6,0,1.0,0,0,0,1,1,13.0,1
3,1,0.0,0,0,0,1,1,13.0,1
9,1,5.0,0,0,1,1,1,13.0,1
59,1,16.0,1,1,0,1,1,16.0,0
37,1,15.0,1,1,0,1,1,15.0,0
36,0,12.0,1,1,0,1,1,15.0,0
88,0,8.0,0,1,0,1,0,8.0,1
49,1,10.0,1,1,0,0,1,10.0,0
47,0,8.0,1,1,0,0,1,10.0,0
24,0,14.0,0,0,0,1,0,14.0,1
1,1,0.0,0,0,0,1,0,14.0,1
40,0,13.0,1,1,0,1,1,13.0,1
29,0,13.0,1,1,0,1,1,13.0,1
40,1,13.0,1,1,0,1,1,13.0,1
8,0,3.0,0,1,0,1,1,13.0,1
5,1,0.0,0,1,0,1,1,13.0,1
37,1,13.0,1,1,0,1,1,13.0,0
37,0,13.0,0,1,1,1,0,13.0,1
17,0,13.0,0,1,1,1,0,13.0,1
28,1,13.0,0,0,0,1,1,10.0,0
16,1,12.0,0,1,0,1,1,10.0,0
13,1,10.0,0,1,0,1,1,10.0,0
7,0,2.0,0,1,0,1,1,10.0,0
76,1,8.0,0,1,0,0,0,8.0,0
71,0,8.0,0,1,0,0,0,8.0,0
41,1,13.0,1,1,0,1,0,8.0,0
38,0,16.0,0,1,0,1,0,8.0,0
30,1,14.0,1,1,0,1,0,8.0,0
45,1,16.0,1,0,0,1,1,16.0,0
36,1,13.0,1,1,0,1,1,13.0,0
12,1,10.0,0,1,0,1,1,13.0,0
25,1,14.0,1,0,0,0,1,14.0,0
40,0,16.0,1,1,0,0,1,14.0,0
13,1,9.0,0,1,1,1,0,13.0,1
12,0,6.0,0,1,1,1,0,13.0,1
10,0,5.0,0,1,1,1,0,13.0,1
8,1,3.0,0,1,1,1,0,13.0,1
60,1,8.0,0,1,0,1,0,8.0,0
67,0,15.0,0,1,0,1,0,8.0,0
36,0,13.0,1,1,1,1,1,13.0,1
19,0,15.0,0,1,1,1,1,13.0,1
11,1,6.0,0,1,1,1,1,13.0,1
5,1,0.0,0,1,1,1,1,13.0,1
50,1,13.0,1,1,0,1,1,13.0,0
43,1,13.0,0,1,1,1,0,13.0,0
33,0,13.0,1,1,1,1,0,13.0,0
13,1,9.0,0,1,1,1,0,13.0,0
8,1,3.0,0,1,1,1,0,13.0,0
17,0,12.0,0,1,0,1,1,14.0,0
85,0,4.0,0,1,1,1,0,4.0,1
37,0,8.0,0,1,1,1,0,4.0,1
12,0,8.0,0,1,1,1,0,4.0,1
68,0,13.0,0,1,0,1,0,13.0,1
63,1,13.0,0,1,0,1,0,13.0,1
40,0,13.0,1,1,0,1,1,13.0,1
21,1,13.0,0,1,0,1,1,13.0,1
45,0,10.0,1,1,0,1,1,10.0,1
9,0,4.0,0,1,0,1,1,10.0,1
18,0,14.0,0,1,0,1,1,10.0,1
20,0,15.0,0,1,0,1,1,10.0,1
5,1,0.0,0,1,0,1,1,10.0,1
37,0,9.0,0,1,1,1,0,9.0,1
22,0,13.0,0,0,1,1,0,9.0,1
39,1,13.0,1,1,0,1,1,13.0,0
5,1,0.0,0,1,1,1,0,9.0,1
7,1,2.0,0,1,1,1,0,9.0,1
46,1,11.0,1,1,0,1,1,11.0,0
26,1,13.0,1,0,0,1,1,11.0,0
9,1,4.0,0,1,0,1,1,11.0,0
43,0,13.0,1,0,1,1,1,13.0,1
43,1,13.0,1,0,1,1,1,13.0,1
16,1,13.0,0,0,1,1,1,13.0,1
14,1,11.0,0,0,1,1,1,13.0,1
60,0,16.0,0,1,0,1,0,16.0,1
37,1,13.0,1,1,0,1,0,16.0,1
10,1,5.0,0,1,0,1,0,16.0,1
9,1,4.0,0,1,0,1,0,16.0,1
53,0,19.0,1,1,0,1,1,19.0,1
49,0,16.0,1,1,0,1,1,16.0,1
11,1,8.0,0,1,0,1,1,16.0,1
37,1,11.0,1,0,0,0,1,11.0,0
75,1,13.0,0,1,0,0,0,13.0,0
75,0,13.0,0,1,0,0,0,13.0,0
41,1,13.0,1,1,1,1,1,13.0,0
40,0,13.0,1,1,1,1,1,13.0,0
20,0,13.0,1,1,1,1,1,13.0,0
22,0,15.0,0,1,1,1,1,13.0,0
63,1,13.0,1,1,0,1,1,13.0,0
60,0,19.0,0,1,0,1,1,13.0,0
30,1,13.0,1,1,0,1,1,13.0,0
38,1,13.0,1,1,0,1,1,13.0,0
59,0,8.0,1,1,0,1,1,8.0,1
70,1,8.0,1,1,0,1,1,8.0,1
23,0,13.0,1,1,0,1,1,8.0,1
25,1,13.0,1,1,0,1,1,8.0,1
35,0,19.0,1,0,0,0,1,11.0,0
5,1,2.0,0,0,0,1,1,11.0,0
4,1,0.0,0,0,0,1,1,11.0,0
56,1,15.0,1,1,0,0,1,15.0,0
51,0,11.0,0,1,0,0,1,15.0,0
35,1,12.0,1,0,0,1,1,15.0,0
60,1,13.0,1,1,1,1,1,13.0,0
20,1,13.0,0,1,1,1,1,13.0,0
67,1,11.0,1,1,0,1,1,11.0,0
65,0,13.0,1,1,0,1,1,11.0,0
29,1,13.0,1,1,0,1,1,11.0,0
71,0,13.0,1,1,0,1,1,13.0,1
30,0,13.0,0,1,0,1,1,13.0,1
30,0,13.0,0,1,0,1,1,13.0,1
32,0,14.0,1,1,0,1,1,14.0,1
48,1,13.0,1,1,0,0,1,13.0,0
42,0,13.0,1,1,0,0,1,13.0,0
16,0,10.0,0,1,0,1,1,13.0,0
12,0,7.0,0,1,0,1,1,13.0,0
37,0,13.0,1,1,0,1,1,13.0,1
13,1,9.0,0,1,0,1,1,13.0,1
11,1,7.0,0,1,0,1,1,13.0,1
61,1,13.0,1,1,0,1,1,13.0,0
59,0,13.0,0,1,0,1,1,13.0,0
20,0,13.0,0,1,0,1,1,13.0,0
22,1,14.0,0,1,0,1,1,13.0,0
31,1,12.0,1,1,0,1,1,12.0,0
16,0,13.0,0,1,1,1,1,13.0,0
14,1,12.0,0,1,1,1,1,13.0,0
30,1,18.0,1,1,0,1,1,18.0,0
67,0,13.0,0,1,0,1,0,13.0,1
41,1,11.0,1,0,0,1,1,11.0,0
83,1,8.0,0,1,1,0,0,8.0,0
77,0,8.0,0,1,1,0,0,8.0,0
34,1,13.0,0,0,1,1,0,8.0,0
63,1,13.0,1,1,0,1,0,13.0,1
62,1,8.0,1,1,0,0,1,8.0,0
59,0,13.0,0,1,0,0,1,8.0,0
77,1,8.0,0,1,0,0,0,8.0,0
65,0,8.0,0,1,0,0,0,8.0,0
68,0,8.0,0,1,0,1,0,8.0,1
21,0,14.0,0,0,0,1,0,14.0,1
81,0,0.0,0,1,0,0,0,0.0,1
94,1,0.0,0,1,0,0,0,0.0,1
42,1,8.0,1,1,0,1,0,0.0,1
64,0,19.0,0,1,0,1,0,19.0,1
26,0,13.0,1,1,0,1,0,19.0,1
48,1,13.0,1,1,0,1,1,13.0,0
46,0,8.0,1,1,0,1,1,13.0,0
22,1,15.0,0,1,0,1,1,13.0,0
43,0,15.0,1,1,0,1,1,15.0,1
83,1,8.0,0,1,0,0,0,8.0,0
79,0,8.0,0,1,0,0,0,8.0,0
77,1,8.0,0,1,0,1,0,8.0,0
70,0,8.0,0,1,0,1,0,8.0,1
31,1,10.0,1,1,0,1,0,8.0,1
20,0,13.0,0,1,0,1,1,13.0,0
8,1,5.0,0,1,0,1,1,13.0,0
17,1,12.0,0,0,1,1,1,8.0,1
42,0,8.0,1,0,1,0,1,8.0,1
41,1,13.0,1,0,1,0,1,8.0,1
19,1,11.0,0,0,1,1,1,8.0,1
67,1,8.0,0,1,0,1,0,8.0,0
43,0,16.0,1,1,0,1,1,16.0,1
18,0,13.0,1,1,0,1,1,16.0,1
10,1,5.0,0,1,0,1,1,16.0,1
43,0,13.0,1,1,0,1,0,8.0,1
25,1,12.0,1,1,0,1,0,8.0,1
46,0,16.0,1,1,0,1,1,16.0,1
16,1,11.0,0,1,0,1,1,16.0,1
37,1,13.0,1,0,0,1,1,13.0,0
36,0,13.0,1,1,0,1,1,13.0,0
5,0,1.0,0,1,0,1,1,13.0,0
42,0,13.0,1,0,1,1,1,13.0,1
8,0,4.0,0,0,1,1,1,13.0,1
14,1,11.0,0,0,1,1,1,13.0,1
43,1,8.0,1,0,1,1,1,8.0,0
20,1,12.0,0,0,1,1,1,8.0,0
18,0,8.0,0,0,1,1,1,8.0,0
10,1,4.0,0,0,1,1,1,8.0,0
48,1,13.0,1,0,1,1,1,13.0,0
40,0,13.0,0,0,1,1,1,13.0,0
63,1,9.0,0,1,0,0,0,9.0,0
61,0,13.0,0,1,0,0,0,9.0,0
54,1,13.0,0,1,0,1,0,13.0,0
56,1,8.0,0,1,0,1,0,13.0,0
64,1,16.0,0,1,0,1,0,16.0,0
30,0,13.0,1,1,0,1,1,13.0,1
28,1,13.0,1,1,0,1,1,13.0,1
37,1,13.0,1,1,1,1,1,13.0,0
37,0,13.0,0,1,1,1,1,13.0,0
17,0,12.0,0,1,1,1,1,13.0,0
17,1,12.0,0,1,1,1,1,13.0,0
11,0,7.0,0,1,1,1,1,13.0,0
74,1,13.0,0,1,0,0,0,13.0,0
68,0,13.0,0,1,0,0,0,13.0,0
9,0,4.0,0,0,1,1,1,13.0,0
63,1,8.0,1,0,0,1,1,8.0,0
88,0,8.0,0,1,0,1,0,8.0,1
61,0,16.0,0,1,0,1,0,16.0,1
65,0,8.0,0,1,0,0,0,8.0,1
70,1,8.0,0,1,0,0,0,8.0,1
56,1,9.0,1,1,0,0,1,9.0,0
47,1,16.0,1,1,0,0,1,16.0,0
35,0,16.0,0,1,0,0,1,16.0,0
8,1,4.0,0,1,0,1,1,16.0,0
5,0,1.0,0,1,0,1,1,16.0,0
28,0,13.0,1,0,1,1,1,13.0,1
55,1,9.0,1,1,0,1,1,9.0,0
55,0,13.0,1,1,0,1,1,9.0,0
25,0,15.0,1,1,0,1,1,9.0,0
20,1,15.0,1,1,0,1,1,9.0,0
33,1,13.0,1,1,0,1,1,13.0,0
30,0,12.0,1,0,0,1,1,13.0,0
5,1,0.0,0,1,0,1,1,13.0,0
3,1,0.0,0,1,0,1,1,13.0,0
49,0,13.0,1,1,0,1,1,13.0,1
21,1,15.0,0,1,0,1,1,13.0,1
18,1,13.0,0,1,0,1,1,13.0,1
14,0,9.0,0,1,0,1,1,13.0,1
54,0,10.0,0,1,0,0,1,9.0,0
30,1,14.0,1,1,0,1,1,9.0,0
67,1,13.0,0,1,0,0,0,13.0,0
8,1,4.0,0,1,1,1,1,13.0,1
6,1,2.0,0,1,1,1,1,13.0,1
4,0,0.0,0,1,1,1,1,13.0,1
54,0,13.0,1,1,0,1,1,13.0,1
42,1,19.0,1,1,0,1,1,19.0,0
27,0,17.0,1,1,0,1,1,19.0,0
78,1,8.0,0,1,0,1,0,8.0,0
45,1,13.0,0,1,0,1,0,8.0,0
54,1,13.0,1,0,0,1,1,13.0,0
23,1,16.0,1,1,0,1,1,13.0,0
54,1,9.0,0,1,0,1,0,9.0,0
36,0,9.0,0,1,0,1,0,9.0,0
57,0,13.0,1,1,0,0,1,12.0,0
21,0,15.0,0,1,0,1,1,12.0,0
20,0,16.0,0,1,0,1,1,12.0,0
54,1,13.0,0,1,0,1,0,13.0,0
72,0,11.0,0,1,0,0,0,11.0,1
73,0,8.0,0,1,0,0,0,11.0,1
53,0,3.0,0,0,1,1,0,3.0,1
23,0,9.0,0,1,1,1,0,3.0,1
80,0,8.0,0,1,0,0,0,8.0,1
84,1,8.0,0,1,0,0,0,8.0,1
62,1,8.0,1,0,0,1,1,8.0,0
54,1,13.0,1,1,0,1,1,13.0,0
50,0,9.0,1,1,0,1,1,13.0,0
25,1,12.0,1,0,0,1,1,13.0,0
29,1,0.0,0,1,0,1,1,13.0,0
79,1,0.0,0,1,0,1,0,0.0,0
34,0,0.0,0,1,0,1,0,0.0,0
24,0,10.0,0,1,0,1,0,10.0,1
28,1,13.0,1,1,0,1,0,10.0,1
63,1,16.0,1,1,0,1,0,10.0,1
65,0,13.0,0,1,0,1,0,13.0,1
29,1,13.0,1,1,0,1,1,13.0,0
29,0,14.0,1,1,0,1,1,13.0,0
7,0,2.0,0,1,0,1,1,13.0,0
36,1,8.0,1,1,0,1,1,8.0,0
34,0,16.0,0,1,1,1,0,16.0,1
67,1,13.0,1,1,0,1,1,13.0,0
32,0,13.0,1,1,0,1,1,13.0,0
56,0,13.0,1,1,0,0,1,13.0,1
57,1,23.0,0,1,0,0,1,13.0,1
73,1,13.0,1,1,0,1,1,13.0,0
62,1,15.0,1,1,0,0,1,15.0,0
67,0,15.0,0,1,0,0,1,15.0,0
51,1,13.0,1,1,0,1,1,13.0,0
35,1,13.0,1,1,0,1,1,13.0,0
64,1,16.0,0,1,0,0,0,16.0,0
61,0,13.0,0,1,0,0,0,16.0,0
67,0,13.0,0,1,0,1,0,13.0,1
35,1,12.0,1,1,0,1,1,12.0,0
33,0,13.0,1,1,0,1,1,13.0,1
61,0,16.0,1,1,0,1,1,16.0,1
44,0,13.0,1,1,0,1,1,13.0,1
51,0,16.0,1,1,0,1,1,16.0,1
58,0,9.0,0,1,0,0,0,9.0,1
53,1,8.0,1,1,0,0,0,9.0,1
33,1,8.0,1,0,0,1,0,9.0,1
35,1,7.0,1,0,0,1,0,9.0,1
63,1,11.0,0,1,0,1,0,11.0,0
55,0,13.0,0,1,1,1,0,13.0,1
49,1,7.0,1,1,1,1,0,13.0,1
35,1,7.0,0,1,1,1,0,13.0,1
26,0,12.0,1,1,1,1,0,13.0,1
28,1,13.0,1,1,0,1,1,13.0,0
